CONTENT,INITIATION DATE,RELEVANT DEPARTMENT,CATEGORY,,,,
국회법 일부개정법률안,2022.5.6.,법제처,정치개혁,,,,
정부조직법 일부개정법률안,2022.5.6.,행정안전부,행정,,,,
스토킹범죄의 처벌 등에 관한 법률 일부개정법률안,2022.5.6.,법무부,정치개혁,,,,
지방자치법 일부개정법률안,2022.5.6.,행정안전부,행정,,,,
대통령직 인수에 관한 법률 일부개정법률안,2022.5.6.,행정안전부,행정,,,,
아동복지법 일부개정법률안,2022.5.6.,보건복지부,보건복지,,,,
여성폭력방지기본법 일부개정법률안,2022.5.6.,여성가족부,인권/성평등,,,,
화물자동차 운수사업법 일부개정법률안,2022.5.6.,국토교통부,교통/건축/국토,,,,
국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,2022.5.6.,국가보훈처,보건복지,,,,
관광진흥법 일부개정법률안,2022.5.6.,문화체육관광부,문화/예술/체육/언론,,,,
도시 및 주거환경정비법 일부개정법률안,2022.5.6.,국토교통부,교통/건축/국토,,,,
경비업법 일부개정법률안,2022.5.6.,경찰청,행정,,,,
지하안전관리에 관한 특별법 일부개정법률안,2022.5.6.,국토교통부,교통/건축/국토,,,,
산업안전보건법 일부개정법률안,2022.5.6.,고용노동부,일자리,,,,
미세먼지 저감 및 관리에 관한 특별법 일부개정법률안,2022.5.6.,환경부,안전/환경,,,,
군사기밀 보호법 일부개정법률안,2022.5.6.,국방부,외교/통일/국방,,,,
기부금품의 모집 및 사용에 관한 법률 일부개정법률안,2022.5.4.,행정안전부,행정,,,,
국가재정법 일부개정법률안,2022.5.4.,기획재정부,행정,,,,
토지이용규제 기본법 일부개정법률안,2022.5.4.,국토교통부,교통/건축/국토,,,,
융합문화복지도시 조성 및 발전에 관한 특별법안,2022.5.4.,,#N/A,,,,
공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 일부개정법률안,2022.5.4.,국토교통부,교통/건축/국토,,,,
예술인 복지법 일부개정법률안,2022.5.4.,문화체육관광부,문화/예술/체육/언론,,,,
산업재해보상보험법 일부개정법률안,2022.5.4.,고용노동부,일자리,,,,
고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률안,2022.5.4.,고용노동부,일자리,,,,
도서관법 일부개정법률안,2022.5.4.,문화체육관광부,문화/예술/체육/언론,,,,
뉴스통신 진흥에 관한 법률 일부개정법률안,2022.5.4.,문화체육관광부,문화/예술/체육/언론,,,,
매장문화재 보호 및 조사에 관한 법률 일부개정법률안,2022.5.4.,문화재청,문화/예술/체육/언론,,,,
대한민국예술원법 일부개정법률안,2022.5.4.,문화체육관광부,문화/예술/체육/언론,,,,
한국환경공단법 일부개정법률안,2022.5.4.,환경부,안전/환경,,,,
동물보호법 일부개정법률안,2022.5.4.,농림축산식품부,농산어촌,,,,
폐기물관리법 일부개정법률안,2022.5.4.,환경부,안전/환경,,,,
할부거래에 관한 법률 일부개정법률안,2022.5.4.,공정거래위원회,성장동력,,,,
새마을금고법 일부개정법률안,2022.5.4.,행정안전부,행정,,,,
공직선거법 일부개정법률안,2022.5.3.,중앙선거관리위원회,정치개혁,,,,
지방세특례제한법 일부개정법률안,2022.5.3.,행정안전부,행정,,,,
항만 재개발 및 주변지역 발전에 관한 법률  일부개정법률안,2022.5.3.,해양수산부,농산어촌,,,,
장애인복지법 일부개정법률안,2022.5.3.,보건복지부,보건복지,,,,
남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2022.5.3.,고용노동부,일자리,,,,
소비자기본법 일부개정법률안,2022.5.3.,공정거래위원회,성장동력,,,,
중소기업창업 지원법 일부개정법률안,2022.5.3.,중소벤처기업부,일자리,,,,
법인세법 일부개정법률안,2022.5.3.,기획재정부,행정,,,,
